Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,42.380001,42.779999,40.849998,41.820000,41.820000,1050500
2022-10-19,41.580002,42.689999,41.020000,42.230000,42.230000,1281400
2022-10-20,43.009998,43.970001,41.730000,41.930000,41.930000,979200
2022-10-21,42.259998,43.900002,41.840000,43.900002,43.900002,902500
2022-10-24,43.410000,44.330002,43.029999,43.950001,43.950001,600800
2022-10-25,43.630001,44.840000,43.369999,44.709999,44.709999,718500
2022-10-26,44.990002,46.410000,44.799999,45.820000,45.820000,1096800
2022-10-27,46.520000,47.250000,44.910000,45.049999,45.049999,1116400
2022-10-28,45.709999,45.889999,43.349998,44.090000,44.090000,828600
2022-10-31,43.310001,44.619999,43.200001,43.959999,43.959999,1234500
2022-11-01,45.060001,46.150002,44.799999,45.020000,45.020000,772900
2022-11-02,45.130001,45.439999,43.020000,43.139999,43.139999,1289900
2022-11-03,42.700001,47.070000,42.599998,46.529999,46.529999,2397400
2022-11-04,47.889999,50.189999,45.630001,46.330002,46.330002,3433400
2022-11-07,46.880001,48.330002,46.580002,48.230000,48.230000,1621400
2022-11-08,47.930000,48.410000,46.840000,47.740002,47.740002,1611600
2022-11-09,46.310001,46.380001,42.740002,42.840000,42.840000,2113400
2022-11-10,44.299999,44.980000,43.580002,44.380001,44.380001,1621000
2022-11-11,45.200001,46.740002,44.860001,45.500000,45.500000,1451900
2022-11-14,44.980000,45.820000,43.180000,43.240002,43.240002,1499800
2022-11-15,44.000000,45.070000,42.919998,44.580002,44.580002,1402200
2022-11-16,43.669998,43.740002,42.410000,42.799999,42.799999,904300
2022-11-17,41.970001,42.540001,41.060001,42.520000,42.520000,928100
2022-11-18,41.389999,42.410000,39.450001,42.330002,42.330002,1405000
2022-11-21,40.959999,41.080002,38.709999,40.900002,40.900002,1596100
2022-11-22,41.299999,43.099998,41.110001,43.090000,43.090000,1395600
2022-11-23,42.009998,42.389999,41.400002,42.180000,42.180000,793500
2022-11-25,42.520000,43.099998,42.220001,42.389999,42.389999,280500
2022-11-28,40.610001,41.590000,39.930000,40.950001,40.950001,1142900
2022-11-29,41.860001,42.459999,40.799999,41.259998,41.259998,1293700
2022-11-30,42.279999,42.610001,40.509998,41.919998,41.919998,1150700
2022-12-01,42.400002,42.790001,40.669998,40.919998,40.919998,1233200
2022-12-02,40.660000,41.610001,40.400002,41.230000,41.230000,767700
2022-12-05,42.599998,42.939999,39.130001,39.470001,39.470001,1478200
2022-12-06,38.779999,39.529999,37.340000,37.779999,37.779999,1293200
2022-12-07,37.880001,38.279999,36.250000,36.590000,36.590000,1190100
2022-12-08,37.509998,38.099998,35.270000,35.520000,35.520000,1204300
2022-12-09,35.599998,36.049999,34.169998,34.200001,34.200001,1416200
2022-12-12,34.540001,35.520000,34.200001,35.299999,35.299999,1209500
2022-12-13,36.689999,37.070000,35.450001,35.730000,35.730000,1562800
2022-12-14,36.040001,36.520000,35.099998,35.750000,35.750000,942400
2022-12-15,35.279999,35.869999,34.450001,35.419998,35.419998,880700
2022-12-16,34.189999,34.990002,33.990002,34.650002,34.650002,3552200
2022-12-19,34.880001,35.520000,33.849998,34.430000,34.430000,1354200
2022-12-20,34.410000,35.180000,33.930000,34.500000,34.500000,665900
