Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,27.629999,28.129999,26.850000,27.139999,26.745363,15531200
2022-10-18,27.500000,27.889999,26.820000,27.559999,27.159254,12617100
2022-10-19,27.570000,28.680000,27.370001,28.350000,27.937769,11945800
2022-10-20,28.700001,29.180000,28.100000,28.230000,27.819515,11273700
2022-10-21,28.500000,29.160000,28.320000,29.150000,28.726135,12508900
2022-10-24,29.180000,29.700001,28.910000,29.469999,29.041483,9515500
2022-10-25,29.320000,29.740000,29.120001,29.650000,29.218864,9481500
2022-10-26,29.950001,30.820000,29.879999,30.180000,29.741159,11523400
2022-10-27,30.950001,31.290001,30.450001,30.520000,30.076216,12968300
2022-10-28,31.000000,31.170000,29.510000,30.160000,29.721449,10946200
2022-10-31,29.809999,30.850000,29.639999,30.450001,30.007235,10776100
2022-11-01,31.080000,31.160000,30.670000,30.930000,30.480255,10757800
2022-11-02,30.799999,30.860001,29.549999,29.760000,29.327265,15001400
2022-11-03,29.480000,31.570000,29.299999,31.420000,30.963127,16797400
2022-11-04,32.200001,32.570000,31.549999,32.029999,31.564260,18056200
2022-11-07,32.320000,33.419998,32.220001,33.029999,32.549717,13090000
2022-11-08,32.919998,32.950001,32.029999,32.730000,32.254082,14468100
2022-11-09,32.110001,32.230000,30.530001,30.629999,30.184614,16293400
2022-11-10,31.440001,31.680000,30.650000,31.600000,31.140511,9774400
2022-11-11,32.500000,33.060001,32.310001,32.880001,32.401897,16266600
2022-11-14,32.660000,33.189999,32.490002,32.500000,32.027428,11658700
2022-11-15,32.660000,33.110001,32.209999,32.939999,32.551167,10281900
2022-11-16,32.430000,32.610001,31.230000,31.450001,31.078756,8565900
2022-11-17,30.889999,31.330000,30.400000,31.299999,30.930527,8740300
2022-11-18,30.430000,30.950001,29.780001,30.799999,30.436428,9255900
2022-11-21,29.840000,30.080000,28.340000,30.040001,29.685402,14098600
2022-11-22,30.660000,31.280001,30.420000,31.190001,30.821825,9231500
2022-11-23,30.510000,30.950001,30.200001,30.650000,30.288198,6041100
2022-11-25,30.799999,30.850000,30.299999,30.379999,30.021387,3347900
2022-11-28,29.299999,30.110001,29.070000,29.809999,29.458117,9203000
2022-11-29,30.250000,30.690001,30.020000,30.350000,29.991741,7553800
2022-11-30,30.990000,31.100000,30.170000,30.629999,30.268435,11942100
2022-12-01,30.959999,31.080000,30.040001,30.090000,29.734810,9424100
2022-12-02,29.900000,30.459999,29.340000,29.740000,29.388943,10995700
2022-12-05,30.360001,30.660000,28.290001,28.520000,28.183342,11316600
2022-12-06,28.280001,28.860001,27.180000,27.450001,27.125975,12776300
2022-12-07,27.549999,27.900000,27.040001,27.410000,27.086445,10851700
2022-12-08,28.180000,28.320000,26.750000,26.840000,26.523174,10263600
2022-12-09,26.760000,27.049999,26.160000,26.170000,25.861084,10940200
2022-12-12,26.330000,27.350000,26.230000,27.180000,26.859161,12501500
2022-12-13,28.000000,28.170000,27.240000,27.680000,27.353258,12493900
2022-12-14,28.030001,28.270000,27.209999,27.469999,27.145737,13154500
2022-12-15,27.240000,27.920000,27.090000,27.860001,27.531136,14260700
2022-12-16,27.129999,27.480000,26.730000,27.330000,27.007389,29738700
2022-12-19,27.610001,27.860001,26.820000,27.030001,26.710932,10084300
2022-12-20,27.020000,27.620001,26.980000,27.150000,26.829515,12488500
2022-12-21,27.830000,27.940001,27.320000,27.740000,27.412550,8206900
2022-12-22,27.709999,27.780001,26.020000,26.700001,26.384827,9738600
2022-12-23,27.129999,27.510000,26.860001,27.440001,27.116093,9400500
2022-12-27,27.670000,27.830000,27.410000,27.650000,27.323612,6868500
2022-12-28,27.400000,27.450001,26.510000,26.580000,26.266243,7907600
2022-12-29,26.350000,26.980000,26.260000,26.780001,26.463882,6133100
2022-12-30,26.590000,27.139999,26.510000,27.070000,26.750460,7196200
2023-01-03,26.680000,26.990000,25.320000,25.639999,25.337339,9714600
2023-01-04,25.020000,25.830000,24.780001,25.320000,25.021116,11334600
2023-01-05,25.320000,26.180000,25.260000,25.870001,25.564625,9843300
2023-01-06,26.309999,26.809999,26.240000,26.600000,26.286007,9373500
