Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,69.410004,70.290001,68.620003,69.800003,65.500931,7969400
2022-10-18,70.750000,71.180000,68.419998,69.769997,65.472778,7943300
2022-10-19,70.110001,72.419998,69.690002,71.940002,67.509125,8977700
2022-10-20,72.930000,73.349998,71.180000,71.680000,67.265137,7704000
2022-10-21,72.480003,74.379997,71.930000,74.290001,69.714394,11214800
2022-10-24,74.550003,75.870003,73.949997,75.239998,70.605881,8530900
2022-10-25,74.839996,75.779999,73.970001,75.510002,70.859253,6541000
2022-10-26,75.870003,78.080002,75.870003,76.919998,72.182411,7803200
2022-10-27,78.500000,78.820000,76.339996,76.559998,71.844574,7410900
2022-10-28,77.580002,78.019997,73.860001,76.010002,71.328453,7861200
2022-10-31,75.040001,78.269997,74.760002,77.349998,72.585915,8429600
2022-11-01,78.690002,78.769997,76.839996,77.300003,72.539001,10730300
2022-11-02,75.449997,75.459999,66.599998,67.440002,63.286285,36589400
2022-11-03,67.580002,71.290001,66.550003,70.730003,66.373657,18048600
2022-11-04,72.910004,74.260002,70.180000,71.480003,67.077461,14218400
2022-11-07,71.739998,72.889999,70.470001,72.040001,67.602974,9347000
2022-11-08,72.190002,72.489998,70.389999,71.989998,67.556038,8450300
2022-11-09,70.480003,70.739998,66.720001,66.760002,62.648174,9463400
2022-11-10,68.550003,69.720001,66.839996,68.980003,64.731445,8089800
2022-11-11,70.449997,72.989998,70.269997,71.800003,67.377754,9500400
2022-11-14,71.349998,72.930000,71.129997,71.500000,67.096222,6600600
2022-11-15,72.250000,73.980003,71.419998,73.620003,69.085655,8500600
2022-11-16,72.190002,73.040001,70.930000,71.339996,66.946075,8881400
2022-11-17,70.000000,71.019997,68.559998,70.989998,66.617630,8337800
2022-11-18,69.019997,69.839996,67.599998,69.620003,65.332016,10216600
2022-11-21,67.599998,68.050003,65.019997,67.190002,63.051693,15267300
2022-11-22,68.129997,70.430000,67.580002,68.570000,64.346695,14037100
2022-11-23,67.500000,68.330002,66.709999,67.800003,63.624123,9888800
2022-11-25,68.449997,69.099998,67.959999,68.349998,64.140251,3520500
2022-11-28,66.040001,67.849998,65.180000,66.529999,62.432331,9713600
2022-11-29,67.699997,68.160004,66.529999,67.500000,63.342590,10032100
2022-11-30,68.699997,68.879997,66.910004,68.519997,64.299759,13844800
2022-12-01,69.550003,70.129997,68.139999,68.279999,64.074547,7640300
2022-12-02,68.000000,69.480003,68.000000,68.459999,64.243462,8250500
2022-12-05,69.750000,70.419998,65.849998,66.550003,62.451107,11218100
2022-12-06,66.000000,67.260002,63.639999,64.129997,60.180153,10278500
2022-12-07,64.570000,65.459999,63.400002,64.250000,60.292767,10523200
2022-12-08,65.900002,66.379997,63.049999,63.500000,59.588959,13385400
2022-12-09,61.950001,62.380001,59.540001,59.619999,57.163212,13152800
2022-12-12,59.990002,61.490002,59.570000,61.080002,58.563053,10636000
2022-12-13,62.639999,63.090000,61.000000,61.980000,59.425961,10915100
2022-12-14,62.630001,63.090000,60.830002,61.919998,59.368435,9062700
2022-12-15,61.130001,61.770000,60.259998,61.580002,59.042446,7976400
2022-12-16,60.000000,60.759998,59.060001,60.080002,57.604256,14377200
2022-12-19,60.450001,60.919998,58.720001,59.259998,56.818047,7011700
2022-12-20,58.950001,59.900002,58.560001,59.360001,56.913925,7606400
2022-12-21,60.880001,61.900002,60.220001,61.759998,59.215027,7992800
2022-12-22,61.560001,61.759998,58.590000,60.110001,57.633022,8067900
2022-12-23,60.930000,62.520000,60.439999,62.509998,59.934120,6099600
2022-12-27,63.020000,63.630001,62.630001,63.240002,60.634041,6771900
2022-12-28,62.849998,62.869999,60.639999,60.889999,58.380875,6524400
2022-12-29,60.349998,61.529999,60.139999,61.040001,58.524700,6355900
2022-12-30,60.950001,61.570000,60.520000,61.509998,58.975330,6690900
2023-01-03,60.730000,61.259998,57.220001,58.119999,55.725025,10613200
2023-01-04,56.880001,59.259998,56.410000,58.900002,56.472881,9690900
2023-01-05,58.860001,60.500000,58.570000,60.169998,57.690544,8812100
2023-01-06,61.169998,62.259998,60.799999,61.230000,58.706867,7332500
2023-01-09,62.689999,63.490002,61.939999,62.200001,59.636898,7567900
2023-01-10,62.799999,63.160000,61.470001,63.130001,60.528572,5909300
2023-01-11,63.939999,64.110001,62.259998,62.849998,60.260109,7557100
